"created_at","id_str","text","retweet_count","favorite_count"
"Fri Oct 02 18:40:45 +0000 2015","650017592959041536","Community engagement is about how we redistribute power. Dive into our engagement standard at http://t.co/XOhT95O8uj #cfasummit",16,8
"Wed Sep 09 20:50:55 +0000 2015","641715429094899712","""Yes, #opendata, but remember the humans behind the numbers."" Thoughts on #policedata by @misspaaj http://t.co/WD7TDNrNqW",16,8
"Tue Aug 18 20:51:24 +0000 2015","633743016390299648","Don't miss inspiring keynotes and actionable workshops at the #CfASummit Sept 30 - Oct 2. Register today --&gt; http://t.co/RTwe3XbUGr",16,19
"Mon Feb 22 18:14:06 +0000 2016","701832352557699073","Attn #developers: great opportunity w/ @FoundOpenGov https://t.co/cEkQj7RkMQ https://t.co/odTtiGSO7Y",14,6
"Sat Jan 30 16:13:02 +0000 2016","693466962815488000","Do you love organizing #events and 21st century #government? Apply to be our Events Producer --&gt; https://t.co/3TDC4dX8pL",14,12
"Tue Dec 22 23:08:09 +0000 2015","679438301611335680","Yes, Open Data, But Remember the Humans Behind the Numbers. One of our favorite 2015 reads: https://t.co/WD7TDNrNqW https://t.co/gb0gLYbnIP",14,10
"Tue Nov 03 19:06:10 +0000 2015","661620399264948224","This month in #CivicTech: @munirent releases OpenProcure.us, a listing of #procurement thresholds for city govts https://t.co/pNEas4kMnv",14,9
"Fri Oct 16 15:47:12 +0000 2015","655047345785184256","The filmed #CfASummit breakout sessions are now up on YouTube ---&gt; http://t.co/tsa0bBq81B http://t.co/deZAtM8Ek3",14,16
"Fri Oct 02 18:16:14 +0000 2015","650011423821594624","""Making policy based on data and user needs requires digital services that support feedback loops."" - @hondanhon at #cfasummit",14,8
"Thu Oct 01 18:32:07 +0000 2015","649653030833356800","""Tech alone isn’t going to get us a 21st century justice system - we need leadership, policy change, resources"" @tennymo #CfASummit",14,23
"Thu Oct 01 18:32:07 +0000 2015","649653030833356800","""Tech alone isn’t going to get us a 21st century justice system - we need leadership, policy change, resources"" @tennymo #CfASummit",14,23
"Wed Sep 30 18:10:06 +0000 2015","649285101935706112","Honored to award App 2.0/Nava Corp @objcio @CaseCommons @SeamlessDocs for the Code for America Technology Awards http://t.co/puis4JWFaU",14,12
"Wed Sep 30 16:21:13 +0000 2015","649257701394939904","""Last week, the civic tech community lost a hero"" -  @cbracy remembering Jake Brewer at #CfASummit http://t.co/A8fP62i6Yq",14,16
"Mon Sep 21 18:37:41 +0000 2015","646030555394519040","""We will miss you, Jake. Thanks for all you brought to CfA and to our lives."" - @pahlkadot @cjoh @RyanResella http://t.co/ZIRUP9cKKU",14,16
"Mon Sep 21 18:37:41 +0000 2015","646030555394519040","""We will miss you, Jake. Thanks for all you brought to CfA and to our lives."" - @pahlkadot @cjoh @RyanResella http://t.co/ZIRUP9cKKU",14,16
"Thu Aug 20 14:19:51 +0000 2015","634369257195892736","15 questions with @pahlkadot, a passionate believer in using technology to affect change. http://t.co/Sohi3zjkdw via @CNNMoney",14,12
"Mon Dec 28 19:15:06 +0000 2015","681553981336875008","In CA, ~40% of people eligible for food stamps aren't receiving their benefits. We're trying to fix that: https://t.co/vufheEX5VX",13,9
"Thu Nov 26 19:33:11 +0000 2015","669962121191383040","Happy Thanksgiving! We're thankful for all you do to make government work in the 21st century. https://t.co/SeWa0sjq27",13,31
"Sat Oct 24 16:07:01 +0000 2015","657951438115598336","How data scientists are using quantitative skills to solve social problems - @cbracy at #RICHDATA @CrowdFlower https://t.co/FmHJ8Qxs8O",13,11
"Sat Oct 24 16:07:01 +0000 2015","657951438115598336","How data scientists are using quantitative skills to solve social problems - @cbracy at #RICHDATA @CrowdFlower https://t.co/FmHJ8Qxs8O",13,11
"Fri Oct 02 19:24:46 +0000 2015","650028669042225152","Learn about all the Technology Awards winners, get links to their projects, and see why they're great at http://t.co/lqIfEljRio #cfasummit",13,8
"Fri Oct 02 16:33:29 +0000 2015","649985566927286272","""Everything is about the user because in the case of city government, the user is our neighbor"" - @atogle #Philadelphia #CfAsummit",13,15
"Fri Oct 02 16:19:13 +0000 2015","649981973469892608","""Confidently take risks"" - @kellan of @Etsy talking abt building a learning culture at #cfasummit http://t.co/WlUK7LW1Gc",13,11
"Thu Sep 03 00:49:23 +0000 2015","639238727810813952","Check out #OpenJustice, a site by @CalAGHarris that makes #California criminal justice data accessible http://t.co/sQaGGAw4U2",13,9
"Sat Aug 15 19:00:09 +0000 2015","632627856808525825",".@schnuerle will show you how to use open #geo data to help the visually impaired navigate their city. Register --&gt; http://t.co/8JsfHwqXtJ",13,6
