"RT_count","name","screen_name","url","profile_image_url","description","klout_score","id_str"
8,"Mischa Anna Selis","miepsja","https://t.co/hoNRk3Nm2E","http://pbs.twimg.com/profile_images/658326778612731905/-IwX374E_normal.jpg","@miepsja is on a Twitter time-out & social media sabattical.",61.52,"21330040"
7,"thinkubator","thinkubator_dk","http://t.co/LgkDC75S2y","http://pbs.twimg.com/profile_images/544805967552978945/WGSDNKgO_normal.jpeg","thinkubator is a corporate think tank merged with a startup incubator, which currently accelerates 10 high potential startups into the Stratosphere!",45.76,"2924725121"
7,"Megan Eskey","meganesque","http://t.co/mF7WlsdOJI","http://pbs.twimg.com/profile_images/3333396309/9bc7a8ecd9c24d1cc239ba6764aa566e_normal.jpeg","OpenGov Consultant with many years at NASA.",53.68,"37233899"
6,"Ronald A. Primas,MD","Primas","http://t.co/b4AXUGER2s","http://pbs.twimg.com/profile_images/584761834/RP_normal.jpg","Dr. Primas is a holistic board certified internist/concierge doctor in NYC available 24/7 for housecalls,urgent & routine care,travel medicine & lifestyle mgmt.",48.96,"22890344"
5,"SISU LAB","EmiliaLahti","https://t.co/KWp9oCV5Dn","http://pbs.twimg.com/profile_images/698768530544549889/DH8NeQRN_normal.jpg","Working on a PhD on #sisu (strength + determination in the face of adversity). Human rights, violence prevention, social change <U+2665> #SISUnotSILENCE",57.7,"145441907"
4,"Katie (KE)","keKatie","https://t.co/A9t0I5lQFl","http://pbs.twimg.com/profile_images/556329098516373505/RyYGqRkT_normal.jpeg","",45.49,"199851289"
4,"~Cindy+F+Solomon~","cindyfsolomon","https://t.co/OmDFnqX7qe","http://pbs.twimg.com/profile_images/545413751105544193/1XSaz5bF_normal.jpeg","Forwarding passionate product people & product excellence! @ProductSummit @ProdMgmtTalk @StartupProduct",46.91,"79539767"
4,"Irishetchings","irishetchings","http://t.co/LkzJxGjQLH","http://pbs.twimg.com/profile_images/2258257973/Heartland4web_normal.jpg","Irish artist doing Etching, VideoAcoustic & Constructions. Love all Arts and Culture, Music; Technology, Futuring and how the world works.",55.21,"83121324"
